t,action,mean_V,LOW_occ,mismatch,E,PLV,global_v_offset,domain_low_fraction,redox_bit,D_est
0.0,,-18.04560013167746,8.333333333333334e-06,0.0,,,0.00030795333223602116,1.0,0.0,
0.05,,-18.104460866045777,9.166284731770674e-05,0.0,,,0.0033808560857198533,1.0,0.0,
0.1,,-17.95676430788258,0.00017498541743631368,0.0,,,0.006464721765507694,1.0,0.0,
0.15,,-18.110463554077015,0.00025830104426778795,0.0,,,0.00954387915918881,1.0,0.0,
0.2,,-18.404504083235697,0.00034160972839071514,0.0,,,0.012608099616556094,1.0,0.0,
0.25,,-18.19070137168045,0.0004242448231610864,0.02,,,0.01567310517465686,0.99,0.0,
0.3,,-18.074356310500583,0.0005067897104036405,0.0,,,0.01874121030087929,1.0,0.0,
0.35000000000000003,,-17.615995564818743,0.0005900776879142318,0.0,,,0.021835059756606802,1.0,0.0,
0.4,,-17.655924113955777,0.0006733587250203,0.0,,,0.02495178478330362,1.0,0.0,
0.45,,-17.67962908409179,0.0007566328223001903,0.0,,,0.028048088603189886,1.0,0.0,
0.5,,-17.262667246874265,0.0008398999803321995,0.0,,,0.031193600564445582,1.0,0.0,
0.55,,-17.71301125109266,0.0009231601996945766,0.0,,,0.03431057778812977,1.0,0.0,
0.6,,-18.314811177113437,0.0010064134809655229,0.0,,,0.03739339031996521,1.0,0.0,
0.65,,-18.312256326192628,0.0010896598247231897,0.0,,,0.04043920636657342,1.0,0.0,
0.7000000000000001,,-18.04114885251584,0.0011720659121011228,0.04,,,0.0435113921090053,0.98,0.0,
0.75,,-17.543827849587203,0.0012536318478391262,0.04,,,0.04660746744678837,0.98,0.0,
0.8,,-17.59677146123376,0.0013359409616711911,0.02,,,0.04973777153115664,0.99,0.0,
0.85,,-17.651585551719723,0.0014183265437511894,0.02,,,0.052843643807772574,0.99,0.0,
0.9,,-17.461816329264977,0.001500038602984511,0.06,,,0.05595164746262694,0.97,0.0,
0.9500000000000001,,-17.674382675507456,0.0015811605663280848,0.04,,,0.059066786153142266,0.98,0.0,
1.0,,-17.80784843511931,0.0016633590642068294,0.0,,,0.06216137539272274,1.0,0.0,
1.05,,-17.616656408239876,0.0017465506645521357,0.0,,,0.06526964579982279,1.0,0.0,
1.1,,-17.69788796567552,0.001829485334607376,0.02,,,0.06838042354650112,0.99,0.0,
1.1500000000000001,,-17.655025564061813,0.0019118297895319197,0.02,,,0.07149135043151612,0.99,0.0,
1.2,,-17.755704223784033,0.0019943340486480977,0.0,,,0.07459379450341148,1.0,0.0,
1.25,,-17.537605059578024,0.002077081409056695,0.02,,,0.07770068310235338,0.99,0.0,
1.3,,-17.821252140370596,0.0021589052588314177,0.02,,,0.08079446572731293,0.99,0.0,
1.35,,-18.143287254790653,0.002241388929097247,0.0,,,0.08388353518135747,1.0,0.0,
1.4000000000000001,,-18.059840483174476,0.0023245323620934484,0.0,,,0.08694538894027042,1.0,0.0,
1.45,,-18.462694366364335,0.0024076688667300523,0.0,,,0.09000682461789215,1.0,0.0,
1.5,,-18.61681906739835,0.0024907984435843964,0.0,,,0.09304793226156027,1.0,0.0,
1.55,,-19.005026657548104,0.0025739210932337773,0.0,,,0.09606422858662063,1.0,0.0,
1.6,,-18.50066909652407,0.002657036816255441,0.0,,,0.09907606140549835,1.0,0.0,
1.6500000000000001,,-18.625162436306525,0.0027401456132265857,0.0,,,0.10210106592454847,1.0,0.0,
