t,domain_id,action,mean_V_dom,LOW_occ_dom,mismatch_dom,E_dom,domain_low_fraction_dom,controller_health
0.0,0,0,-3.0,0.00016666666666666666,0.1,0.4000000000000001,1.0,1.0
0.0,1,0,-10.0,0.00016666666666666666,0.1,0.6999999999999998,1.0,0.0
0.0,2,0,-18.0,0.0,0.1,0.6999999999999998,0.0,1.0
0.0,3,0,-18.0,0.0,0.1,0.6999999999999998,0.0,1.0
1.0,0,0,-7.330845186175983,0.001831806319189875,0.1,0.5056298708804399,1.0,1.0
1.0,1,0,-13.037356940464976,0.0018251396525232084,0.15,0.7482619237643388,0.96,0.0
1.0,2,0,-19.166881674100757,0.0,0.1,0.7482619237643388,0.0,1.0
1.0,3,0,-19.77295922709139,0.0,0.09,0.7482619237643388,0.0,1.0
2.0,0,0,-9.821435144764406,0.003494172819458634,0.11,0.5910605122723807,1.0,1.0
2.0,1,0,-15.340311784770163,0.0032210083052192783,0.34,0.7872948892278981,0.72,0.0
2.0,2,0,-20.063863037967398,0.0,0.1,0.7872948892278981,0.0,1.0
2.0,3,0,-21.809861393794776,0.0,0.05,0.7872948892278981,0.0,1.0
3.0,0,0,-13.564969552518734,0.005140438563706248,0.22,0.6601545519394301,0.96,1.0
3.0,1,0,-17.311879489278923,0.004054932100189401,0.43,0.8188637176964637,0.4,0.0
3.0,2,0,-21.96661423506156,0.0,0.1,0.8188637176964637,0.0,1.0
3.0,3,0,-23.47131434132889,0.0,0.01,0.8188637176964637,0.0,1.0
4.0,0,0,-16.539571569442764,0.006510764764568062,0.48,0.7160359808942895,0.6,1.0
4.0,1,0,-20.087234579173412,0.004387873541943557,0.19,0.8443957498913562,0.12,0.0
4.0,2,0,-24.31122752812405,0.0,0.05,0.8443957498913562,0.0,1.0
4.0,3,0,-25.1965270349578,0.0,0.0,0.8443957498913562,0.0,1.0
5.0,0,0,-18.94294694572164,0.006926184054363222,0.3,0.7612314003123004,0.16,1.0
5.0,1,0,-22.742087261402038,0.0043938803580705595,0.01,0.8650453811771716,0.0,0.0
5.0,2,0,-24.779015325656356,0.0,0.01,0.8650453811771716,0.0,1.0
5.0,3,0,-26.179107447197065,0.0,0.0,0.8650453811771716,0.0,1.0
6.0,0,0,-21.490067460548083,0.007001215788693803,0.0,0.7977842582934365,0.0,1.0
6.0,1,0,-25.44622061572235,0.0043865627140505575,0.0,0.8817462559444149,0.0,0.0
6.0,2,0,-25.741625541504405,0.0,0.0,0.8817462559444149,0.0,1.0
6.0,3,0,-27.531338045293577,0.0,0.0,0.8817462559444149,0.0,1.0
7.0,0,0,-22.517600196028983,0.006989555843343954,0.0,0.8273472415292252,0.0,1.0
7.0,1,0,-26.444695315903864,0.004379257256960931,0.0,0.8952534810435256,0.0,0.0
7.0,2,0,-26.885139154458855,0.0,0.0,0.8952534810435256,0.0,1.0
7.0,3,0,-29.466918875781683,0.0,0.0,0.8952534810435256,0.0,1.0
8.0,0,0,-24.730812261384095,0.006977915316667898,0.0,0.8512569992354645,0.0,1.0
8.0,1,0,-27.56946500355014,0.004371963966505357,0.0,0.9061777668920656,0.0,0.0
8.0,2,0,-28.1217872650059,0.0,0.0,0.9061777668920656,0.0,1.0
8.0,3,0,-30.454127288802265,0.0,0.0,0.9061777668920656,0.0,1.0
9.0,0,0,-26.585639230655307,0.0069662941763254434,0.0,0.8705945778895358,0.0,1.0
9.0,1,0,-28.464573873376057,0.004364682822421313,0.0,0.9150130398978052,0.0,0.0
9.0,2,0,-30.75438247036333,0.0,0.0,0.9150130398978052,0.0,1.0
9.0,3,0,-32.1934523143914,0.0,0.0,0.9150130398978052,0.0,1.0
10.0,0,0,-27.33354926315575,0.006954692390030255,0.0,0.8862342992450065,0.0,1.0
10.0,1,0,-28.169483184649952,0.0043574138044800235,0.0,0.922158774655046,0.0,0.0
10.0,2,0,-31.28818027550361,0.0,0.0,0.922158774655046,0.0,1.0
10.0,3,0,-32.521711307329554,0.0,0.0,0.922158774655046,0.0,1.0
11.0,0,0,-30.220230972653475,0.006943109925549768,0.0,0.8988832915750399,0.0,1.0
11.0,1,0,-30.3398382155588,0.0043501568924864,0.0,0.9279380556334235,0.0,0.0
11.0,2,0,-32.35213134584388,0.0,0.0,0.9279380556334235,0.0,1.0
11.0,3,0,-33.4795813856449,0.0,0.0,0.9279380556334235,0.0,1.0
12.0,0,0,-31.858374148914788,0.0069315467507051025,0.0,0.9091134614948689,0.0,1.0
12.0,1,0,-32.095688017961805,0.00434291206627899,0.0,0.9326121849933454,0.0,0.0
12.0,2,0,-34.07797660893485,0.0,0.0,0.9326121849933454,0.0,1.0
12.0,3,0,-36.0034080694903,0.0,0.0,0.9326121849933454,0.0,1.0
13.0,0,0,-34.097640973156196,0.006920002833370963,0.0,0.9173873519248663,0.0,1.0
13.0,1,0,-33.950264038863416,0.0043356793057299165,0.0,0.9363924970001547,0.0,0.0
13.0,2,0,-35.136185287484984,0.0,0.0,0.9363924970001547,0.0,1.0
13.0,3,0,-37.40017835042008,0.0,0.0,0.9363924970001547,0.0,1.0
14.0,0,0,-36.30431589684749,0.006908478141475562,0.0,0.9240790553260888,0.0,1.0
14.0,1,0,-35.02367498337865,0.004328458590744825,0.0,0.9394499132093337,0.0,0.0
14.0,2,0,-35.31517717551226,0.0,0.0,0.9394499132093337,0.0,1.0
14.0,3,0,-38.23010544314355,0.0,0.0,0.9394499132093337,0.0,1.0
15.0,0,0,-37.239514703619626,0.0068969726430005256,0.0,0.9294911277711847,0.0,1.0
15.0,1,0,-35.445063427692226,0.004321249901262824,0.0,0.9419226704471793,0.0,0.0
15.0,2,0,-35.497851709677974,0.0,0.0,0.9419226704471793,0.0,1.0
15.0,3,0,-38.8347036839618,0.0,0.0,0.9419226704471793,0.0,1.0
16.0,0,0,-38.961307970480114,0.006885486305980795,0.0,0.9338682685968845,0.0,1.0
16.0,1,0,-34.86966633129345,0.004314053217256436,0.0,0.9439225709968525,0.0,0.0
16.0,2,0,-36.78511960111211,0.0,0.0,0.9439225709968525,0.0,1.0
16.0,3,0,-39.45281649044089,0.0,0.0,0.9439225709968525,0.0,1.0
17.0,0,0,-39.66067363466331,0.0068740190985045555,0.0,0.9374083841445561,0.0,1.0
17.0,1,0,-36.984911476613746,0.004306868518731534,0.0,0.9455400375832888,0.0,0.0
17.0,2,0,-38.13185488675081,0.0,0.0,0.9455400375832888,0.0,1.0
17.0,3,0,-39.50431929006858,0.0,0.0,0.9455400375832888,0.0,1.0
18.0,0,0,-40.28454291848799,0.006862570988713136,0.0,0.940271535820482,0.0,1.0
18.0,1,0,-37.97777863364168,0.00429969578572729,0.0,0.9468482017110823,0.0,0.0
18.0,2,0,-38.75634309152952,0.0,0.0,0.9468482017110823,0.0,1.0
18.0,3,0,-40.19111179962695,0.0,0.0,0.9468482017110823,0.0,1.0
19.0,0,0,-41.96010407194145,0.006851141944800922,0.0,0.9425871770499751,0.0,1.0
19.0,1,0,-38.58913408330163,0.004292534998316121,0.0,0.9479062102038679,0.0,0.0
19.0,2,0,-39.705098768978324,0.0,0.0,0.9479062102038679,0.0,1.0
19.0,3,0,-40.23893513615705,0.0,0.0,0.9479062102038679,0.0,1.0
20.0,0,0,-42.763055720176574,0.006839731935015274,0.0,0.9444600063341566,0.0,1.0
20.0,1,0,-40.17301823911361,0.00428538613660363,0.0,0.9487618994457783,0.0,0.0
20.0,2,0,-41.017242630191085,0.0,0.0,0.9487618994457783,0.0,1.0
20.0,3,0,-41.25482852650924,0.0,0.0,0.9487618994457783,0.0,1.0
21.0,0,0,-42.51504627774249,0.006828340927656425,0.0,0.9459747010472301,0.0,1.0
21.0,1,0,-41.258150137504835,0.004278249180728552,0.0,0.9494539582370966,0.0,0.0
21.0,2,0,-41.63870124433448,0.0,0.0,0.9494539582370966,0.0,1.0
21.0,3,0,-41.65651374338335,0.0,0.0,0.9494539582370966,0.0,1.0
22.0,0,0,-42.60383706003836,0.006816968891077409,0.0,0.9471997460063148,0.0,1.0
22.0,1,0,-42.72053264257258,0.004271124110862703,0.0,0.9500136770546095,0.0,0.0
22.0,2,0,-42.45320009261546,0.0,0.0,0.9500136770546095,0.0,1.0
22.0,3,0,-42.76815874652763,0.0,0.0,0.9500136770546095,0.0,1.0
23.0,0,0,-42.467025088559275,0.0068056157936839615,0.0,0.9481905299173076,0.0,1.0
23.0,1,0,-43.407451428140284,0.004264010907210917,0.0,0.9504663628070457,0.0,0.0
23.0,2,0,-42.9810032411224,0.0,0.0,0.9504663628070457,0.0,1.0
23.0,3,0,-43.88433565771161,0.0,0.0,0.9504663628070457,0.0,1.0
24.0,0,0,-43.1950684197077,0.006794281603934436,0.0,0.9489918496982692,0.0,1.0
24.0,1,0,-44.300304477702255,0.004256909550010996,0.0,0.9508324830517954,0.0,0.0
24.0,2,0,-43.426395741395375,0.0,0.0,0.9508324830517954,0.0,1.0
24.0,3,0,-44.62987438264011,0.0,0.0,0.9508324830517954,0.0,1.0
25.0,0,0,-45.110333411055514,0.006782966290339718,0.0,0.9496399359098399,0.0,1.0
25.0,1,0,-45.1703289395788,0.004249820019533656,0.0,0.9511285914070823,0.0,0.0
25.0,2,0,-43.34438232412426,0.0,0.0,0.9511285914070823,0.0,1.0
25.0,3,0,-44.63766485123094,0.0,0.0,0.9511285914070823,0.0,1.0
26.0,0,0,-45.80579629908565,0.006771669821463133,0.0,0.9501640908697039,0.0,1.0
26.0,1,0,-46.528020655560006,0.004242742296082468,0.0,0.951368076000813,0.0,0.0
26.0,2,0,-44.30145139548367,0.0,0.0,0.951368076000813,0.0,1.0
