t,action,mean_V,LOW_occ,mismatch,E,PLV,global_v_offset,domain_low_fraction,redox_bit,D_est
0.0,,-17.839473677204847,8.333333333333334e-06,0.0,,,1.337719356626277e-06,1.0,0.0,
0.05,,-18.056901275578642,9.166284731770674e-05,0.0,,,7.345543428836319e-09,1.0,0.0,
0.1,,-18.08632545172183,0.00017498541743631368,0.0,,,-1.7462391328182667e-05,1.0,0.0,
0.15,,-18.15271993397556,0.00025830104426778795,0.0,,,-9.112345990249375e-06,1.0,0.0,
0.2,,-18.205502847306448,0.00034160972839071514,0.0,,,-2.6620410623442013e-05,1.0,0.0,
0.25,,-18.277263285434127,0.00042491147038363264,0.0,,,-4.9649014720154605e-05,1.0,0.0,
0.3,,-17.743904555111875,0.0005082062708250293,0.0,,,-4.825219831524017e-05,1.0,0.0,
0.35000000000000003,,-18.387049077980162,0.0005908274830707992,0.02,,,-5.813058356727606e-05,0.99,0.0,
0.4,,-18.03596153624181,0.0006739418028347991,0.0,,,-8.071137418194513e-05,1.0,0.0,
0.45,,-18.53583274938714,0.0007572158515266939,0.0,,,-0.00011635257579571546,1.0,0.0,
0.5,,-18.28598880577265,0.0008404829609747561,0.0,,,-0.00014745756884241516,1.0,0.0,
0.55,,-18.16291844728913,0.0009237431317572348,0.0,,,-0.0001630390023676865,1.0,0.0,
0.6,,-17.768786452181697,0.0010069963644523305,0.0,,,-0.0001538344691460163,1.0,0.0,
0.65,,-17.787454308647884,0.0010888260388039648,0.04,,,-0.00012616403228148966,0.98,0.0,
0.7000000000000001,,-17.838238900665296,0.001170398910937957,0.04,,,-0.00010939995847025894,0.98,0.0,
0.75,,-18.163914776371804,0.0012525483043377172,0.02,,,-0.00011353642452813715,0.99,0.0,
0.8,,-17.877447655221502,0.0013351075015174518,0.0,,,-0.00012078382535513939,1.0,0.0,
0.85,,-17.85524005989947,0.0014177431363836834,0.02,,,-0.00010583317712323844,0.99,0.0,
0.9,,-17.30352521158618,0.0015008718768719015,0.0,,,-6.585460205693695e-05,1.0,0.0,
0.9500000000000001,,-17.665225905237634,0.0015840770173083912,0.0,,,-3.4705827114676006e-05,1.0,0.0,
1.0,,-18.0525209134217,0.001667275224243188,0.0,,,-2.770368792533754e-05,1.0,0.0,
1.05,,-18.079172557002657,0.0017504664982540621,0.0,,,-4.178084891346645e-05,1.0,0.0,
1.1,,-18.12615108964235,0.0018336508399187362,0.0,,,-3.7736768406873306e-05,1.0,0.0,
1.1500000000000001,,-18.041724899292205,0.0019168282498148825,0.0,,,-3.901486685893094e-05,1.0,0.0,
1.2,,-18.184761183345028,0.0019991654264361006,0.02,,,-4.449374704490427e-05,0.99,0.0,
1.25,,-18.00807625464722,0.0020814957418832324,0.02,,,-4.636792551382049e-05,0.99,0.0,
1.3,,-18.31734155740305,0.002164485843950565,0.0,,,-6.452674427982007e-05,1.0,0.0,
1.35,,-18.083664120335392,0.002247635685296879,0.0,,,-9.416978593501401e-05,1.0,0.0,
1.4000000000000001,,-18.265988974480393,0.0023306119317773617,0.02,,,-0.00011995424943326569,0.99,0.0,
